name,price-cost,ram-gain,screen-gain,disk-gain,oled-gain,os-gain,foldable-gain
Huawei P30,1699,6,6.1,128,1,3,0
Huawei P20 Lite,899,4,5.8,64,0,3,0
Iphone 15,4699,6,6.7,128,1,0,0
Iphone 12,2499,4,6.1,64,1,0,0
Motorola Razr Ultra,3999,8,6.9,256,1,3,1
Motorola Razr 40,2999,8,6.9,256,1,3,1
Samsung Galaxy Z Flip 5,5599,8,6.7,256,1,3,1
Motorola Razr 8,2657,8,6.67,256,1,3,1
Nokia 2660 Flip,299,4,2.8,128,1,1,1
Huawei P40,1949,8,6.1,128,1,2,0
Samsung Galaxy A55,2099,8,6.6,128,1,3,0
Nokia 3310,100,0.004,1.7,16,0,1,0
Samsung Galaxy M34,999,6,6.5,128,1,3,0
Xiaomi Poco X6 Pro,1699,12,6.67,512,1,3,0
Lg V60,1499,6,6.8,128,1,3,0
